구 , 계   , 한국인   , 등록외국인  , 고령자  
종로구," 152,212 ","141,060","10,952","28,265"
중구," 131,390 ","120,963","10,613","25,353"
용산구," 232,482 ","217,756","14,781","39,478"
성동구," 287,240 ","280,240","7,190","48,238"
광진구," 350,925 ","336,801","14,651","54,854"
동대문구," 354,884 ","337,574","17,552","65,154"
중랑구," 389,928 ","385,003","5,044","76,116"
성북구," 441,855 ","430,100","11,923","78,427"
강북구," 296,934 ","292,762","4,389","67,056"
도봉구," 312,858 ","310,509","2,400","68,114"
노원구," 506,989 ","502,515","4,537","93,279"
은평구," 468,766 ","464,871","3,997","90,556"
서대문구," 321,966 ","308,437","13,604","56,785"
마포구," 376,542 ","365,570","11,174","56,582"
양천구," 442,345 ","439,219","3,164","73,522"
강서구," 573,711 ","568,287","5,543","98,659"
구로구," 417,983 ","395,183","22,941","77,259"
금천구," 242,467 ","229,307","13,332","43,772"
영등포구," 398,999 ","376,614","22,703","66,014"
동작구," 390,377 ","380,201","10,221","68,766"
관악구," 502,628 ","487,815","15,238","83,420"
서초구," 408,979 ","404,831","4,269","63,328"
강남구," 537,817 ","532,798","5,188","83,097"
송파구," 663,704 ","658,006","5,771","105,161"
강동구," 464,027 ","459,982","4,052","79,706"
